abandon,"vt.放弃,遗弃;n.放任,狂热"
ability,"n.能力,才干"
aboard,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
absence,"n.不在,缺席,缺乏,没有"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absolute,"adj.完全的,绝对的"
absorb,"vt.吸收,吸引"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
abuse,"n.滥用,虐待,辱骂,陋习,弊端;v.滥用,虐待,辱骂"
academic,"adj.学院的,理论的"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
accelerate,"v.加速,促进"
accent,"n.重音,口音,重音符"
acceptance,"n.接受,承诺,容忍,赞同,相信"
access,"n.通路,访问,入门;vt.存取,接近"
accident,"n.意外事件,事故"
accidental,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
accompany,"vt.陪伴,伴奏"
accomplish,"vt.完成,达到,实现"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accordance,"n.一致,和谐"
according,adv.依照
accordingly,"adv.因此,从而"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accountant,"n.会计(员),会计师"
accumulate,"v.积聚,堆积"
accuracy,"n.精确性,正确度"
accurate,"adj.正确的,精确的"
accuse,"vt.控告,谴责,非难"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
ache,"n.疼痛;vi.觉得疼痛,渴望"
achievement,"n.成就,功绩"
acid,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
acknowledge,"vt.承认,答谢,报偿"
acquaintance,"n.相识,熟人"
acquire,"vt.获得,学到"
acquisition,"n.获得,获得物"
acre,"n.英亩,地产,大片田地"
action,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
acute,"adj.敏锐的,[医]急性的,剧烈"
adapt,"vt.使适应,改编"
addition,"n.加,加起来,增加物,增加,加法"
additional,"adj.另外的,附加的,额外的"
adequate,"adj.适当的,足够的"
adjust,"vt.调整,调节,校准,使适合"
administration,"n.管理,经营,行政部门"
admire,"v.赞美,钦佩,羡慕"
admission,"n.允许进入,承认某事之陈述,供认"
admit,"v.容许,承认,接纳"
adopt,"vt.采用,收养"
adult,"n.成人,成年人;adj.成人的,成熟的"
advanced,"adj.高级的,年老的,先进的"
advantage,"n.优势,有利条件,利益"
adventure,"n.冒险,冒险的经历;v.冒险"
advertise,"v.做广告,登广告"
advertisement,"n.广告,做广告"
advisable,"adj.可取的,明智的"
advocate,"n.提倡者,鼓吹者;vt.提倡,鼓吹"
aeroplane,n.飞机
affect,"vt.影响,感动,侵袭,假装"
affection,"n.友爱,爱情,影响,疾病,倾向"
afford,"vt.提供,给予,供应得起"
afterward,"adv.然后,后来"
agency,"n.代理处,行销处,代理,中介"
agenda,n.议程
agent,n.代理(商)
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
agriculture,"n.农业,农艺,农学"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助"
aircraft,n.航行器
airline,n.定期航线
airplane,n.飞机
airport,"n.<主美>小型民用机场,私人飞机降落场"
alarm,"n.警报,惊慌,警告器;vt.恐吓,警告"
alcohol,"n.酒精,酒"
alert,"adj.提防的,警惕的;n.警惕,警报"
belief,"n.信任,信心,信仰"
beloved,"adj.心爱的;n.所爱的人,爱人"
beneath,adv.在...之下;prep.在...之下
beneficial,"adj.有益的,受益的,[法律]有使用权的;beneficadj.有益的,行善的"
benefit,"n.利益,好处;vt.有益于,有助于;vi.受益"
besides,adv.此外;prep.除...之外
bet,"n.赌,打赌;v.赌,赌钱"
beyond,"prep.在(到)...较远的一边,超过,那一边;adv.在远处;n.远处"
Bible,n.《圣经》
bid,"vt.出价,投标,祝愿,命令,吩咐;n.出价,投标;v.支付"
billion,n.&adj.十亿(的)
bind,"v.绑,镶边,装订,凝固,约束"
biology,"n.生物学,生物(总称)"
blade,"n.刀刃,刀片"
blank,"adj.空白的,空着的,失色的,没有表情的;n.空白,<美>表格"
blanket,n.毯子;vt.覆盖
blast,"n.一阵(风),一股(气流),爆炸,冲击波;vt.爆炸,,毁灭,使枯萎,损害"
bleed,"v.使出血,放血"
blend,vt.混和;n.混和
bloody,"adj.血腥的,嗜杀的,有血的,<英鄙>该死的,非常的"
bloom,"n.花,旺盛,青春;v.(使)开花,(使)繁盛"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部;vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
boast,"n.自夸,值得夸耀的事物;v.自夸,以有...而自豪"
bold,adj.大胆的;n.粗体
bolt,"n.门闩,螺钉,闪电,跑掉;v.上门闩,囫囵吞下,逃跑"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同;v.结合"
boom,"n.繁荣,隆隆声;v.发隆隆声,兴隆,大事宣传"
boost,v.推进
boot,"n.<美>(长统)靴,靴子;v.导入"
border,"n.边界,国界,边,边沿,边境;vt.与...接壤,接近;v.接壤"
bore,"n.令人讨厌的人,怒潮,枪膛,孔;v.使烦扰,钻孔"
boring,n.钻(孔);adj.令人厌烦的
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳;n.(球)跳起,弹回"
bound,"n.跃进,跳,范围,限度;adj.正要启程的,开往...去的,被束缚的,装订的;v.跳跃,限制"
boundary,"n.边界,分界线"
brake,"n.闸,刹车;v.刹车"
brand,"n.商标,牌子,烙印;vt.打火印,污辱"
brass,"n.黄铜,黄铜制品,厚脸皮"
brave,adj.勇敢的
breadth,"n.宽度,(布的)幅宽,(船)幅"
breast,"n.胸部,乳房,胸怀,心情;vt.以胸对着,对付"
breed,"v.(使)繁殖,教养,抚养;n.品种,种类"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波;vi.吹微风,逃走"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
bride,n.新娘
brief,"n.摘要,大纲;adj.简短的,短暂的;vt.摘要,(军事)下达简令"
brilliant,"adj.灿烂的,闪耀的,有才气的"
broom,"n.扫帚,[植]金雀花;vt.扫除"
brow,"n.眉毛,额,(面部)表情"
bubble,"n.泡沫,幻想的计划;vi.起泡,潺潺的流"
bucket,"n.桶,一桶的量,[桶状物]铲斗"
budget,"n.预算;vi.做预算,编入预算"
bulb,"n.鳞茎,球形物"
bulk,"n.大小,体积,大批,大多数,散装;vt.显得大,显得重要"
bullet,n.子弹
bump,"n.撞击,肿块;v.碰(伤),撞(破),颠簸"
bunch,"n.串,束v.捆成一束"
bundle,"n.捆,束,包;v.捆扎"
burden,"n.担子,负担;v.负担"
bureau,"n.办公桌,衣柜;<美>局,办公署"
burst,"v.爆裂,炸破,急于,爆发;n.突然破裂,爆发,脉冲"
butcher,"n.屠夫,屠户;vt.屠宰,屠杀"
butterfly,"n.[动]蝴蝶,蝶泳"
cabbage,"n.[植]甘蓝,卷心菜"
cabin,"n.小屋,船舱"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的"
cable,"n.电缆,海底电报,缆,索;v.打(海底)电报"
calculate,"v.计算,考虑,计划,打算;v.<美>以为,认为"
calculator,"n.计算机,计算器"
calendar,"n.日历,历法"
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的;v.(使)平静,(使)镇定,平息"
camel,"n.骆驼,[船](打捞用的)浮筒"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动;vi.参加活动,从事活动,作战"
campus,"n.<美>校园,大学教育"
canal,"n.运河,小道,导管,槽,沟渠;vt.开运河"
cancel,"vt.取消,删去"
cancer,"n.癌,毒瘤"
candidate,"n.候选人,投考者"
candy,"n.糖果,冰糖;v.蜜饯,糖煮(水果)"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
confuse,"vt.搞乱,使糊涂"
confusion,"n.混乱,混淆"
congratulate,"vt.祝贺,庆贺,恭喜"
congratulation,"n.祝词,贺辞"
congress,"n.(代表)大会,[C～](美国等国的)国会,议会"
conjunction,"n.联合,关联,连接词"
connect,"v.连接,联合,关连"
connection,"n.连接,关系,接线,线路,亲戚"
connexion,"n.联系,连结"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
conquest,n.征服;n.战利品
conscience,"n.良心,道德心"
conscious,"adj.有意识的,有知觉的,故意的,羞怯的"
consent,"vi.同意,赞成,答应;n.同意,赞成,允诺"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
consequently,"adv.从而,因此"
conservation,"n.保存,保持,守恒"
conservative,"adj.保守的,守旧的;n.保守派"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
considerate,adj.考虑周到的
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
consist,"vi.由...组成,在于,一致"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
constant,"n.[数、物]常数,恒量;adj.不变的,持续的,坚决的"
constitute,"vt.制定(法律),建立(政府),组成,任命"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
construct,"vt.建造,构造,创立"
construction,"n.建筑,建筑物,解释,造句"
consult,"v.商量,商议,请教,参考,考虑"
consultant,"n.顾问,商议者,咨询者"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭"
consumer,n.消费者
consumption,"n.消费,消费量,肺病"
contact,"n.接触,联系;vt.接触,联系"
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
contemporary,"n.同时代的人;adj.当代的,同时代的"
contest,"n.论争,竞赛:v.,争论,争辩,竞赛,争夺"
continual,"adj.连续的,频繁的,持续不断的"
continuous,"adj.连续的,持续的"
contract,"n.合同,契约,婚约;v.使缩短,感染,订约"
contradiction,"n.反驳,矛盾"
contrary,"adj.相反的,逆的,<口语>执拗;n.反面;adv.相反地"
contrast,"vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异"
contribute,"v.捐助,捐献,贡献,投稿"
contribution,"n.捐献,贡献,投稿"
controversial,"adj.争论的,争议的"
controversy,"n.论争,辩论,论战"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
convention,"n.大会,协定,习俗,惯例"
conventional,"adj.惯例的,常规的,习俗的,传统的"
conversely,"adv.倒地,逆地"
convert,"n.皈依者;vt.使转变,转换...,使...改变信仰"
convey,"vt.搬运,传达,转让"
convict,"vt.证明...有罪,宣告...有罪;n.罪犯"
conviction,"n.深信,确信,定罪,宣告有罪"
convince,"vt.使确信,使信服"
cooperate,"vi.合作,协作"
coordinate,"n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理"
cop,"n.警官,巡警,[纺]管纱;vt.抓住"
cope,"vi.(善于)应付,(善于)处理"
copper,"n.铜,警察"
copyright,"n.版权,著作权"
cord,"n.绳索,束缚"
core,"n.果核,中心,核心"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
correspond,"vi.符合,协调,通信,相当,相应"
correspondence,"n.相应,通信,信件"
correspondent,"n.通讯记者,通信者"
corresponding,"adj.相应的,通讯的"
corridor,n.走廊
costly,"adj.昂贵的,贵重的"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
counsel,"n.讨论,商议,辩护律师;vt.劝告,忠告"
counter,"n.计算器,计数器,计算者,柜台,筹码;adv.&prep.相反地"
county,"n.县,郡"
court,"n.法院,庭院,宫庭,球场,奉承,求爱,殷勤;vt.向...献殷勤,设法获得(他人支持),博得(喝彩),招致(失败,危险等);vi.求爱"
courtyard,"n.庭院,院子"
crack,"n.裂缝,噼啪声;v.(使)破裂,裂纹,(使)爆裂;adj.最好的,高明的"
craft,"n.工艺,手艺"
crane,n.起重机
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
dot,"n.点,圆点,园点;vt.在...上打点"
doubtful,"adj.可疑的,不确的,疑心的"
downward,adj.向下的
draft,"n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟"
drag,"v.拖,拖曳,缓慢而费力地行动;n.拖拉"
dragon,"n.龙,凶暴的人,严厉而有警觉性的女人"
drain,"n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
dramatic,"adj.戏剧性的,生动的"
draught,"n.拖,拉,一网(鱼),气流"
drawer,"n.抽屉,画家,制图员,(用复数)衬裤、内裤"
drift,"n.冲洗,漂流物,观望,漂流;v.(使)漂流"
drill,"n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播"
drip,n.水滴;v.(使)滴下
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室;vi.击鼓,作鼓声;vt.打鼓奏"
drunk,adj.喝醉了的;vbl.drink的过去分词
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的;vt.使迟钝,使阴暗,缓和;vi.变迟钝,减少"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
dump,"vt.倾倒(垃圾),倾卸;n.堆存处"
durable,"adj.持久的,耐用的"
duration,"n.持续时间,为期"
dusk,"n.薄暮,黄昏"
dye,"n.染料,染色;vt.染;v.染"
dynamic,"adj.动力的,动力学的,动态的"
eagle,"n.鹰,鹰状标饰"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
earthquake,"n.地震,[喻]在震荡,在变动"
ease,"n.安逸,安心,不费力,悠闲;vt.使悠闲,使安心,减轻,放松;vi.减弱,减轻,放松,灵活地移动"
echo,"n.回声,回音,回波;vi.发回声,随声附和;vt.摹仿,重复,反射;[计]禁止(或允许)在屏上显示批处理命令行"
economic,"adj.经济(上)的,产供销的,经济学的"
economical,"adj.节约的,经济的"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
edition,"n.版本,版"
editor,"n.编辑,编辑器,编者"
editorial,"n.社论;adj.编辑上的,主笔的,社论的"
educate,"vt.教育,训练,培养;v.教育"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
efficiency,"n.效率,功效"
efficient,"adj.(直接)生效的,有效率的,能干的"
effort,"n.努力,成就"
elaborate,"adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述"
elastic,adj.弹性的
elbow,n.肘
elderly,"adj.过了中年的,稍老的"
elect,"vt.选举,推选;v.选择,作出选择,选举,选举,选举"
election,"n.选举,当选,选择权,[宗]上帝的选拔"
electric,"adj.电的,导电的,电动的,电气"
electrical,"adj.电的,有关电的"
electricity,"n.电流,电,电学"
electron,n.电子
electronic,adj.电子的
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
element,"n.要素,元素,成分,元件,自然环境"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
elevator,"n.电梯,升降机,[空]升降舵"
eliminate,"vt.排除,消除;v.除去"
elsewhere,adv.在别处
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embassy,"n.大使及其随员,大使的派遣,大使馆"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉;vi.拥抱;n.拥抱"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
emit,"vt.发出,放射,吐露,散发,发表,发行"
emotion,"n.情绪,情感,感情"
emotional,"adj.情绪的,情感的"
emperor,"n.皇帝,君主"
emphasis,"n.强调,重点"
emphasize,"vt.强调,着重;v.强调"
empire,"n.帝国,帝权"
employee,"n.职工,雇员,店员"
employer,"n.雇主,老板"
employment,"n.雇用,使用,利用,工作,职业"
enable,"vt.使能够,授予权利或方法"
enclose,"vt.放入封套,装入,围绕"
encounter,"v.遭遇,遇到,相遇;n.遭遇,遭遇战"
encourage,"vt.鼓励,怂恿;v.鼓励,鼓励"
ending,"n.结尾,结局"
endless,"adj.无止境的,无穷的"
endure,"v.耐久,忍耐"
enforce,"vt.强迫,执行,坚持,加强"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合"
former,"adj.从前的,以前的;n.形成者,创造者,模型,样板"
formula,"n.公式,规则,客套语"
forth,"adv.往前,向外"
fortnight,n.两星期
fortunately,adv.幸运地
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
fountain,"n.泉水,喷泉,源泉"
fraction,"n.小部分,片断,分数"
fragment,"n.碎片,断片,片段"
frame,"n.结构,体格;vt.构成,设计,制定,使适合,陷害;vi.<英方>有成功希望;n.帧,画面,框架"
framework,"n.构架,框架,结构"
frank,"adj.坦白的,率直的,老实的;vt.免费邮寄;n.免费邮寄特权"
freight,"n.货物,船货,运费,货运;vt.装货,使充满,运送"
frequency,"n.频率,周率,发生次数"
frequent,"adj.时常发生的,频繁的"
frog,n.青蛙;vi.捕蛙
frontier,"n.国境,边疆,边境"
frost,"n.霜,霜冻,严寒;v.结霜"
frown,"vi.皱眉,蹙额,不赞成,反对;v.皱眉"
fruitful,"adj.果实结得多的,多产的,富有成效的"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fry,"n.油炸食物,油炸锅,鱼苗,鱼秧;v.油炸,油煎"
fuel,"n.燃料;vt.加燃料,供以燃料;vi.得到燃料"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
fulfill,"vt.履行,实现,完成(计划等)"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责"
fund,"n.资金,基金;v.支助,投资"
fundamental,"adj.基础的,基本的;n.基本原则,基本原理"
funeral,"n.葬礼,出殡"
fur,"n.毛皮,毛,软毛"
furnace,"n.炉子,熔炉"
furnish,"vt.供应,提供,装备,布置;v.供给"
furniture,"n.家具,设备,储藏物"
furthermore,"adv.此外,而且"
fuss,"n.忙乱,大惊小怪,大惊小怪的人;v.忙乱,大惊小怪"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
gallon,n.加仑
gang,"n.(一)伙,(一)群"
gaol,"n.(<英>=jail)监狱,拘留所;vt.监禁"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
garbage,"n.垃圾,废物"
gardener,n.园丁
garlic,"n.[植]大蒜,(Akkuynsadtium),蒜头"
gasoline,n.汽油
gaze,"v.盯,凝视;n.凝视"
gear,"n.齿轮,传动装置;v.调整,(使)适合,换档"
gene,"n.[遗传]因子,[遗传]基因"
generally,"adv.一般,通常,一般地"
generate,"vt.产生,发生"
generator,"n.发电机,发生器"
generous,"adj.慷慨的,大方的,有雅量的"
genius,"n.天才,天赋,天才人物"
genuine,"adj.真实的,真正的,诚恳的"
geometry,n.几何学
germ,"n.微生物,细菌"
gesture,"n.姿态,手势,表示;v.作手势,以手势表示"
ghost,"n.鬼,幽灵"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才;adj.庞大的,巨大的"
given,"adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词"
glance,"vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看"
glimpse,"n.一瞥,一看;v.瞥见"
global,"adj.球形的,全球的,全世界的"
globe,"n.球体,地球仪,地球,世界"
glorious,"adj.光荣的,显赫的"
glory,"n.荣誉,光荣"
glove,n.手套;vt.戴手套
glow,"vi.发光,发热"
glue,"n.胶,胶水;vt.胶合,粘贴,粘合"
golf,n.高尔夫球;vi.打高尔夫球
goodness,"n.仁慈,善良"
govern,"v.统治,支配,管理"
governor,"n.统治者,管理者,地方长官,主管人员"
grab,"v.抢夺,攫取,夺取"
grace,"n.优美,雅致,优雅"
graceful,adj.优美的
gradual,"adj.逐渐的,逐步的,渐进的"
graduate,"n.(大学)毕业生,研究生;v.(使)(大学)毕业"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
grammar,"n.文法,有关原理的书,入门的书"
gramme,n.克
inner,"adj.内部的,里面的,内心的;n.内部"
innocent,"adj.(～of)清白的,无罪的,天真的,无知的"
input,n.输入;v.输入
inquire,"v.询问,问明,查究"
inquiry,"n.质询,调查"
insect,"n.昆虫,卑鄙的人;adj..虫的,虫子一样的,对付虫子的"
insert,"vt.插入,嵌入;n.插入物"
insight,"n.洞察力,见识"
insist,"v.坚持,强调"
inspect,"vt.检查,视察;"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生;vi.吸入,赋予灵感"
install,"vt.安装,安置,使就职"
installation,"n.[计]安装,装置,就职"
instance,"n.实例,建议,要求,情况,场合;vt.举...为例,获得例证"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
instead,"adv.代替,改为,抵作,更换"
instinct,n.本能
institute,"n.学会,学院,协会;vt.创立,开始,制定,开始(调查),提起(诉讼)"
institution,"n.公共机构,协会,制度"
instruct,"vt.教,教导,命令,指示,通知"
instruction,"n.指示,用法说明(书),教育,指导,指令"
instrument,"n.工具,手段,器械,器具,手段"
insult,"n.侮辱,凌辱;vt.侮辱,凌辱"
insurance,"n.保险,保险单,保险业,保险费"
insure,vt.给...保险;v.确保
integrate,"vt.使成整体,使一体化,求...的积分;v.结合"
intellectual,"adj.智力的,有智力的,显示智力的;n.知识分子"
intelligence,"n.智力,聪明,智能"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
intend,"vt.想要,打算,意指,意谓"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensity,"n.强烈,剧烈,强度,亮度"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器"
intention,"n.意图,目的"
interaction,"n.交互作用,交感"
interest,"n.兴趣,关心,重要性,影响,利息,利益,利害;vt.使发生兴趣,引起...的注意"
interfere,"vi.干涉,干预,妨碍,打扰"
interference,"n.冲突,干涉"
interior,"adj.内部的,内的;n.内部"
intermediate,adj.中间的;n.媒介
internal,"adj.内在的,国内的"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
interpretation,"n.解释,阐明,口译,通译"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴;vi.打断(别人讲话或行动);n.(发给电脑)中断信号"
interval,"n.间隔,距离,幕间休息;n.时间间隔"
interview,"vt.接见,会见;n.接见,会见"
intimate,"adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友"
introduction,"n.介绍,传入,初步,导言,绪论,入门"
invade,"vt.侵略,侵袭,拥挤"
invasion,n.入侵
invent,"vt.发明,创造;v.发明"
invention,"n.发明,创造"
invest,"v.投(资),购买(有用之物)～,授予,投资"
investigate,"v.调查,研究"
investment,"n.投资,可获利的东西"
invisible,"adj.看不见的,无形的"
invitation,"n.邀请,招待"
involve,"vt.包括,笼罩,潜心于,使陷于"
inward,"adv.向内,在内;adj.向内的,内在的"
isolate,"vt.使隔离,使孤立,使绝缘,离析;n.隔离种群"
issue,"n.出版,发行,(报刊等)期号,论点,问题,结果,(水,血)流出;vi.发行,流出,造成...结果,进行辩护,传下;vt.使流出,发行(钞票等),发布(令),出版(书);[律]子女,后嗣"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
jail,n.监狱;vt.监禁
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶;vi.震惊,冲突,发刺耳声,不一致;vt.震动,刺激"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹;v.闲谈,教训,唠叨"
jazz,"n.(20世纪产生于美国一种舞曲性音乐)爵士乐,喧闹;adj.爵士乐的,喧吵的,颜色过于艳丽的;vi.奏爵士乐,跳爵士舞,游荡;vt.奏爵士乐,使活泼"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
jeans,"n.斜纹布裤,牛仔裤"
jet,"n.喷射,黑玉;v.喷射;adj.黑玉色的,墨黑的;喷气机"
jewel,n.宝石
